kingdom,sciName,unitName1,author,rankID,sourceIdentifier,source,notes,nomenclaturalStatus,acceptance,acceptedStr,
Fungi,Pseudocercospora bixicola,Pseudocercospora,Goh & W.H. Hsieh,220,mb:125204,,,Legitimate,0,Pseudocercospora bixae,
Fungi,Pseudocercospora blackwoodiae,Pseudocercospora,"Y.P. Tan, Bishop-Hurley & R.G. Shivas",220,mb:845794,,,Legitimate,1,,
Fungi,Pseudocercospora blechi,Pseudocercospora,"U. Braun, Crous & N. Pons",220,mb:380272,,,Legitimate,1,Pseudocercospora blechi,
Fungi,Pseudocercospora blepharidis,Pseudocercospora,(Chiddarwar) U. Braun & Crous,220,mb:564475,,,Legitimate,1,Pseudocercospora blepharidis,
Fungi,Pseudocercospora blepharis,Pseudocercospora,(Chiddarwar) U. Braun & Crous,220,mb:439122,,,Orthographic variant,0,Pseudocercospora blepharidis,
Fungi,Pseudocercospora blumeae,Pseudocercospora,(Thümen) Deighton,220,mb:321519,,,Legitimate,1,Pseudocercospora blumeae,
Fungi,Pseudocercospora blumeae-balsamiferae,Pseudocercospora,(Sawada) Y.L. Guo & X.J. Liu,220,mb:126467,,,Invalid,1,Pseudocercospora blumeae-balsamiferae,
Fungi,Pseudocercospora blumeae-balsamiferae,Pseudocercospora,Goh & W.H. Hsieh,220,mb:126423,,,Legitimate,1,Pseudocercospora blumeae-balsamiferae,
Fungi,Pseudocercospora blumeae-balsamiferae,Pseudocercospora,Sawada ex T.K. Guo & W.H. Hsieh,220,if:126423,,,,1,Pseudocercospora blumeae-balsamiferae,
Fungi,Pseudocercospora blumeae-balsamiferae,Pseudocercospora,Sawada ex Y.L. Guo & X.J. Liu,220,if:126467,,,,1,,
Fungi,Pseudocercospora blumeae-oxyodontae,Pseudocercospora,H.S.G. Rao & S. Narayan,220,mb:459917,,,Legitimate,1,Pseudocercospora blumeae-oxyodontae,
Fungi,Pseudocercospora boedijniana,Pseudocercospora,U. Braun,220,mb:380273,,,Legitimate,1,Pseudocercospora boedijniana,
Fungi,Pseudocercospora boehmeriae,Pseudocercospora,(Peck) Y.L. Guo & X.J. Liu,220,mb:126468,,,Illegitimate,1,,
Fungi,Pseudocercospora boehmeriae,Pseudocercospora,Sawada ex Goh & W.H. Hsieh,220,mb:355091,,,Legitimate,1,,
Fungi,Pseudocercospora boehmeriigena,Pseudocercospora,U. Braun,220,mb:437875,,,Legitimate,1,Pseudocercospora boehmeriigena,
Fungi,Pseudocercospora bolkanii,Pseudocercospora,Furlanetto & Dianese,220,mb:460954,,,Legitimate,1,Pseudocercospora bolkanii,
Fungi,Pseudocercospora bolleana,Pseudocercospora,(Thümen) Sivanesan,220,mb:115304,,,Legitimate,0,Passalora bolleana,
Fungi,Pseudocercospora bombacina,Pseudocercospora,(T.S. Ramakrishnan & K. Ramakrishnan) Deighton,220,mb:131717,,,Legitimate,1,Pseudocercospora bombacina,
Fungi,Pseudocercospora bomplandiana,Pseudocercospora,(Spegazzini) U. Braun,220,mb:483025,,,Legitimate,1,Pseudocercospora bomplandiana,
Fungi,Pseudocercospora bonducella,Pseudocercospora,"(Hennings) U. Braun, Dianese & A. Hernández-Gutiérrez",220,mb:540996,,,Orthographic variant,1,Pseudocercospora bonducella,
Fungi,Pseudocercospora bonducellae,Pseudocercospora,"(Hennings) U. Braun, Dianese & A. Hernández-Gutiérrez",220,mb:512222,,,Legitimate,1,,
Fungi,Pseudocercospora bonjeaneae-rectae,Pseudocercospora,(Caballero) U. Braun,220,mb:849379,,,Legitimate,1,,
Fungi,Pseudocercospora bonjeaneae,Pseudocercospora,Maire ex U. Braun & Crous,220,mb:433428,,,Invalid,1,Pseudocercospora bonjeaneae,
Fungi,Pseudocercospora bonjeaniae,Pseudocercospora,Maire ex U. Braun & Crous,220,mb:456690,,,Orthographic variant,1,Pseudocercospora bonjeaniae,
Fungi,Pseudocercospora boraginis,Pseudocercospora,(G.P. Agarwal & N.D. Sharma) U. Braun & Crous,220,mb:455307,,,Legitimate,1,Pseudocercospora boraginis,
Fungi,Pseudocercospora borreriae,Pseudocercospora,(Ellis & Everhart) Deighton,220,mb:321521,,,Legitimate,1,Pseudocercospora borreriae,
Fungi,Pseudocercospora bougainvilleae,Pseudocercospora,Y.L. Guo,220,mb:459786,,,Legitimate,1,Pseudocercospora bougainvilleae,
Fungi,Pseudocercospora brachypoda,Pseudocercospora,(Spegazzini) U. Braun,220,mb:483026,,,Legitimate,1,Pseudocercospora brachypoda,
Fungi,Pseudocercospora brackenicola,Pseudocercospora,"Guatimosim, R.W. Barreto & Crous",220,mb:812813,,,Legitimate,1,Pseudocercospora brackenicola,
Fungi,Pseudocercospora brasiliensis,Pseudocercospora,U. Braun & F.O. Freire,220,mb:369202,,,Legitimate,1,Pseudocercospora brasiliensis,
Fungi,Pseudocercospora brassicae,Pseudocercospora,U. Braun & McKenzie,220,mb:459591,,,Legitimate,1,Pseudocercospora brassicae,
Fungi,Pseudocercospora breonadiae,Pseudocercospora,P.W. Crous & Jolanda Roux,220,mb:824793,,,Legitimate,1,Pseudocercospora breonadiae,
Fungi,Pseudocercospora bretschneiderae,Pseudocercospora,X.J. Liu & Y.L. Guo,220,mb:359407,,,Legitimate,1,Pseudocercospora bretschneiderae,
Fungi,Pseudocercospora brevis,Pseudocercospora,B. Sutton,220,mb:362703,,,Legitimate,1,Pseudocercospora brevis,
Fungi,Pseudocercospora breyniae-rhamnoidis,Pseudocercospora,(Thirumalachar & Govindu) Deighton,220,mb:321523,,,Legitimate,1,Pseudocercospora breyniae-rhamnoidis,
Fungi,Pseudocercospora briareus,Pseudocercospora,(Ellis & Everhart) U. Braun & Crous,220,mb:451302,,,Legitimate,1,Pseudocercospora briareus,
Fungi,Pseudocercospora brideliae,Pseudocercospora,Deighton,220,mb:321524,,,Legitimate,1,Pseudocercospora brideliae,
Fungi,Pseudocercospora brideligena,Pseudocercospora,"H.S. Rao, Arch. Singh & Kamal",220,mb:278271,,,Orthographic variant,1,,
Fungi,Pseudocercospora brideligena,Pseudocercospora,Kamal,220,mb:567834,,,Orthographic variant,1,,
Fungi,Pseudocercospora brideliicola,Pseudocercospora,"J.M. Yen, A.K. Kar & B.K. Das",220,mb:110043,,,Legitimate,1,Pseudocercospora brideliicola,
Fungi,Pseudocercospora brideliigena,Pseudocercospora,"H.S. Rao, Arch. Singh & Kamal",220,mb:434523,,,Legitimate,1,Pseudocercospora brideliigena,
Fungi,Pseudocercospora brideliigena,Pseudocercospora,Kamal,220,mb:568988,,,Legitimate,1,Pseudocercospora brideliigena,
Fungi,Pseudocercospora broussonetiae,Pseudocercospora,(Chupp & Linder) X.J. Liu & Y.L. Guo,220,mb:126469,,,Legitimate,1,Pseudocercospora broussonetiae,
Fungi,Pseudocercospora bruceae,Pseudocercospora,(Petch) Y.L. Guo & X.J. Liu,220,mb:126470,,,Legitimate,1,Pseudocercospora bruceae,
Fungi,Pseudocercospora bruneiensis,Pseudocercospora,U. Braun & Sivapalan,220,mb:459987,,,Legitimate,1,Pseudocercospora bruneiensis,
Fungi,Pseudocercospora buchaniana,Pseudocercospora,"(S.K. Majumdar, S. Singh & Anuradha) Kamal",220,mb:568094,,,Legitimate,1,Pseudocercospora buchaniana,
Fungi,Pseudocercospora buchaniana,Pseudocercospora,"S.K. Majumdar, S. Singh ter & Anuradha ex Kamal",220,if:568094,,,,1,Pseudocercospora buchaniana,
Fungi,Pseudocercospora buddleiae,Pseudocercospora,(W. Yamamoto) Goh & W.H. Hsieh,220,mb:126454,,,Orthographic variant,1,,
Fungi,Pseudocercospora buddleiae,Pseudocercospora,(W. Yamamoto) Y.L. Guo & X.J. Liu,220,mb:126471,,,Orthographic variant,1,,
Fungi,Pseudocercospora buddlejae,Pseudocercospora,(W. Yamamoto) Goh & W.H. Hsieh,220,mb:537367,,,Legitimate,1,Pseudocercospora buddlejae,
Fungi,Pseudocercospora buddlejae,Pseudocercospora,(W. Yamamoto) Y.L. Guo & X.J. Liu,220,mb:537368,,,Illegitimate,1,Pseudocercospora buddlejae,
